id;es_code;es_name;es_cretime;es_creid;es_modtime;es_modid
1;global Bacon Parkways;Customer firewall;2021-01-19T05:00:08;Metal;2021-01-19T03:13:07;overriding
2;system;Dynamic IB Sleek;2021-01-18T17:36:59;Accounts frame national;2021-01-18T06:08:06;Lead 24/7 benchmark
3;Refined Frozen Chicken Generic Frozen Pants;scalable;2021-01-18T17:22:41;B2C partnerships;2021-01-18T14:12:53;driver Rubber
4;rich Algerian Dinar;Cotton;2021-01-18T23:47:23;Toys leading-edge;2021-01-18T09:11:59;Balanced Armenia functionalities
5;Texas Future optical;Table Soft Dynamic;2021-01-19T01:37:53;Computers Intelligent Cotton Chips Central;2021-01-18T11:36:02;Chief Investor
6;Ohio deposit Cambridgeshire;AI leverage mint green;2021-01-19T02:03:36;seamless;2021-01-18T18:28:07;Internal Gloves
7;bus;Barbados;2021-01-18T21:32:37;override invoice;2021-01-18T14:51:57;programming
8;web-readiness;override Liaison Sausages;2021-01-19T00:30:02;viral driver;2021-01-18T16:24:36;Metical strategy supply-chains
9;reinvent;Buckinghamshire;2021-01-18T17:49:49;back-end back-end Tala;2021-01-18T11:26:02;Latvia frictionless Auto Loan Account
10;Cambridgeshire Generic;Syrian Pound Clothing;2021-01-18T19:47:10;Berkshire vertical;2021-01-18T11:55:42;Concrete Refined online
