id;noti_caseid;noti_title;noti_content;noti_infotype;noti_starttime;noti_endtime;noti_statcode;noti_cretime;noti_creid;noti_modtime;noti_modid
1;withdrawal Secured;Oklahoma;Licensed impactful Investment Account;Route Money Market Account;2021-01-18T12:17:58;2021-01-18T15:38:05;Soap transmitting parsing;2021-01-19T02:08:11;Bedfordshire client-driven deploy;2021-01-18T10:39:06;JBOD
2;leading-edge Vanuatu actuating;bus;Fresh;Clothing wireless;2021-01-18T23:00:40;2021-01-19T03:37:53;Principal sky blue withdrawal;2021-01-18T09:03:33;hard drive;2021-01-18T20:45:51;Central dot-com connecting
3;Bedfordshire Home;Lebanon Refined Iraq;Integration;multi-byte redundant attitude-oriented;2021-01-18T16:58:10;2021-01-18T06:49:09;SAS;2021-01-18T17:03:19;Gorgeous mobile;2021-01-19T01:49:57;Configurable Industrial
4;Games Representative Credit Card Account;Handcrafted structure orchid;compress alliance feed;invoice Organic Handcrafted Soft Shoes;2021-01-18T08:51:10;2021-01-18T14:14:28;Self-enabling;2021-01-18T21:11:32;Chief;2021-01-19T01:54:45;Checking Account Djibouti Franc
5;Greece;Granite Home;JSON Investment Account sticky;programming;2021-01-18T15:53:54;2021-01-19T01:14:59;Face to face Gorgeous streamline;2021-01-18T07:49:14;Product;2021-01-18T18:51:40;toolset
6;platforms Berkshire Washington;background;back-end Buckinghamshire Avon;composite Sleek Concrete Shoes;2021-01-18T15:58:51;2021-01-19T03:20:19;mobile Electronics Expanded;2021-01-18T22:24:02;multi-byte bricks-and-clicks synthesize;2021-01-18T08:22:32;Roads Cross-group Refined
7;Florida;matrix;vortals Awesome;scalable granular;2021-01-18T14:50:00;2021-01-18T14:06:51;digital Facilitator;2021-01-19T01:42:08;Handcrafted;2021-01-19T04:40:12;Paraguay Electronics synergies
8;Soft;circuit;Savings Account;Hat Bedfordshire calculate;2021-01-18T20:00:06;2021-01-18T15:04:01;Maryland;2021-01-18T09:38:46;deposit;2021-01-18T21:08:56;payment Concrete leading-edge
9;Paradigm;dedicated;relationships;Director Ergonomic Cotton Computer maximized;2021-01-18T08:32:59;2021-01-18T10:37:42;haptic Steel system;2021-01-18T19:15:50;Chair;2021-01-19T03:39:56;Greens
10;dedicated customer loyalty Awesome;Kip index;hierarchy Beauty;Buckinghamshire Jamaican Dollar Texas;2021-01-18T19:16:31;2021-01-18T23:42:55;optimal CFP Franc;2021-01-18T14:56:11;CFA Franc BEAC;2021-01-18T13:35:31;Avon
