id;uc_code;uc_name;uc_cretime;uc_creid;uc_modtime;uc_modid
1;Exclusive;best-of-breed SSL;2021-01-18T23:51:08;Vermont Fish;2021-01-18T18:43:14;firewall web-readiness
2;back up ivory;Tuna;2021-01-18T17:28:52;Handcrafted Auto Loan Account Guinea Franc;2021-01-19T01:45:02;initiatives cultivate application
3;Orchestrator;Group;2021-01-19T01:50:46;exuding Table open-source;2021-01-19T04:53:47;redundant
4;Cambridgeshire pink;Frozen Gorgeous Concrete Pizza bi-directional;2021-01-18T18:36:50;Senior Vision-oriented Savings Account;2021-01-18T19:45:44;reintermediate real-time blue
5;bluetooth uniform;override Tasty Multi-tiered;2021-01-18T17:14:47;system-worthy;2021-01-18T11:59:06;maximize unleash
6;Table Principal system;SAS;2021-01-18T14:39:17;solid state Markets Tugrik;2021-01-18T15:48:37;object-oriented programming
7;Ford;Cloned Cameroon Toys;2021-01-18T07:04:10;Summit Handcrafted Steel Hat;2021-01-18T21:31:48;Shirt
8;capacitor;Checking Account;2021-01-18T21:00:15;Stravenue TCP;2021-01-18T06:59:30;Home Loan Account
9;calculating Division system;Idaho deposit Buckinghamshire;2021-01-18T21:07:25;orchestration payment;2021-01-18T12:51:13;impactful primary
10;Belarus Customer;Dong;2021-01-19T02:22:32;Credit Card Account;2021-01-18T21:29:38;knowledge user orchestrate Frozen
